date,advances,declines,totalVolume,totalTrades,buy_volume,sell_volume,breadth,breadth_ma5,breadth_momentum,total_vol,buy_ratio,sentiment_shift,volume_ma20,volume_ratio,breadth_vol,sentiment_vol,breadth_lag1,sentiment_lag1,breadth_lag3,sentiment_lag3,breadth_lag5,sentiment_lag5,target
2025-07-30,3732,7090,43825.503329,11535,0.0,0.0,-0.3102651760140442,0.1117863258451675,-0.7491883887236647,0.0,0.0,0.0,18625.4717668,2.352861233071257,0.3373166102987277,0.0,0.4389232127096205,0.0,0.14410187667560323,0.0,-0.4092462096946402,0.0,1
2025-07-30,2961,6261,33567.510191,9537,0.0,0.0,-0.35780114930066137,0.08249413722214864,-0.047535973286617184,0.0,0.0,0.0,18767.5523321,1.7884975674756347,0.33121730090433044,0.0,-0.3102651760140442,0.0,0.49751192204022393,0.0,-0.211340206185567,0.0,1
2025-07-30,660,761,7991.806137,1807,0.0,0.0,-0.0710267229254571,0.03946841730193658,0.2867744263752043,0.0,0.0,0.0,18742.65071625,0.4263740430284172,0.3312245864760684,0.0,-0.35780114930066137,0.0,0.4389232127096205,0.0,0.14410187667560323,0.0,2
2025-07-30,111,68,2266.187,191,0.0,0.0,0.2388888888888889,-0.012256189328330436,0.309915611814346,0.0,0.0,0.0,18750.69786625,0.12085236313874101,0.34487802321884087,0.0,-0.0710267229254571,0.0,-0.3102651760140442,0.0,0.49751192204022393,0.0,1
2025-07-31,757,738,9151.417732,1942,0.0,0.0,0.01270053475935829,-0.09750072491838288,-0.22618835412953062,0.0,0.0,0.0,18859.25668805,0.48522233198440007,0.32652521055010403,0.0,0.2388888888888889,0.0,-0.35780114930066137,0.0,0.4389232127096205,0.0,1
2025-07-31,104,124,2049.165379,241,0.0,0.0,-0.08733624454148471,-0.05291493862387098,-0.100036779300843,0.0,0.0,0.0,18900.872007,0.10841071076140632,0.29648400630310445,0.0,0.01270053475935829,0.0,-0.0710267229254571,0.0,-0.3102651760140442,0.0,2
2025-07-31,5720,5832,64034.200564,12399,0.0,0.0,-0.009694451657578118,0.01670640090474567,0.07764179288390659,0.0,0.0,0.0,20314.809016799998,3.151939482747028,0.2849204425519463,0.0,-0.08733624454148471,0.0,0.2388888888888889,0.0,-0.35780114930066137,0.0,1
2025-07-31,4859,4970,52833.617452,10216,0.0,0.0,-0.011291963377416073,0.028653352814353876,-0.0015975117198379542,0.0,0.0,0.0,21578.57188585,2.4483162933664904,0.28342733986247703,0.0,-0.009694451657578118,0.0,0.01270053475935829,0.0,-0.0710267229254571,0.0,1
2025-08-01,7289,1471,24713.693739,9018,0.0,0.0,0.6640794429859606,0.11369146363376821,0.6753714063633767,0.0,0.0,0.0,22577.44192145,1.09457037934586,0.3166388687069159,0.0,-0.011291963377416073,0.0,-0.08733624454148471,0.0,0.2388888888888889,0.0,0
2025-08-01,729,768,4400.058037,1933,0.0,0.0,-0.0260347129506008,0.10594441409177639,-0.6901141559365613,0.0,0.0,0.0,22733.6705733,0.19353955549140464,0.2859507194670383,0.0,0.6640794429859606,0.0,-0.009694451657578118,0.0,0.01270053475935829,0.0,2
2025-08-01,52,130,1126.22,191,0.0,0.0,-0.4262295081967213,0.03816576136072908,-0.4001947952461205,0.0,0.0,0.0,21374.557744949998,0.052687280184119216,0.30202130793599796,0.0,-0.0260347129506008,0.0,-0.011291963377416073,0.0,-0.08733624454148471,0.0,2
2025-08-04,910,542,7226.476516,1877,0.0,0.0,0.25326909841706813,0.09075847137565833,0.6794986066137894,0.0,0.0,0.0,20621.0466438,0.3504247973453514,0.2845556978163401,0.0,-0.4262295081967213,0.0,0.6640794429859606,0.0,-0.009694451657578118,0.0,1
2025-08-04,107,91,1319.101,211,0.0,0.0,0.08040201005025126,0.10909726606119179,-0.17286708836681686,0.0,0.0,0.0,20362.69480135,0.06477709535857663,0.2811881257810642,0.0,0.25326909841706813,0.0,-0.0260347129506008,0.0,-0.011291963377416073,0.0,1
2025-08-05,100,90,1926.38,199,0.0,0.0,0.05235602094240838,-0.01324741834751864,-0.02804598910784288,0.0,0.0,0.0,20401.69795135,0.09441790515124182,0.27477054616020313,0.0,0.08040201005025126,0.0,-0.4262295081967213,0.0,0.6640794429859606,0.0,1
2025-08-05,4115,5039,32314.176835,9489,0.0,0.0,-0.10092845439650464,-0.028226166636699405,-0.153284475338913,0.0,0.0,0.0,20151.5935027,1.6034748495607085,0.27881438016342314,0.0,0.05235602094240838,0.0,0.25326909841706813,0.0,-0.0260347129506008,0.0,1
2025-08-05,809,720,7099.191999,1914,0.0,0.0,0.05816993464052288,0.06865372193074944,0.1590983890370275,0.0,0.0,0.0,19022.3625547,0.37318281552942595,0.275271090402165,0.0,-0.10092845439650464,0.0,0.08040201005025126,0.0,-0.4262295081967213,0.0,1
2025-08-06,109,92,2505.226,208,0.0,0.0,0.08415841584158416,0.03483158541565263,0.025988481201061286,0.0,0.0,0.0,19085.76478525,0.13125461691318194,0.27447931809950643,0.0,0.05816993464052288,0.0,0.05235602094240838,0.0,0.25326909841706813,0.0,1
2025-08-06,779,637,7180.595131,1723,0.0,0.0,0.10021171489061398,0.03879352638372517,0.016053299049029815,0.0,0.0,0.0,19012.288093749998,0.3776619328331951,0.27339793619290936,0.0,0.08415841584158416,0.0,-0.10092845439650464,0.0,0.08040201005025126,0.0,1
2025-08-06,5525,5097,40589.434943,11246,0.0,0.0,0.04028993692930434,0.036380309581104366,-0.05992177796130964,0.0,0.0,0.0,19421.0617288,2.0898623179027367,0.1784753470790869,0.0,0.10021171489061398,0.0,0.05816993464052288,0.0,0.05235602094240838,0.0,0
2025-08-06,4637,4368,30903.613812,9315,0.0,0.0,0.029868976238063512,0.062539795708018,-0.010420960691240828,0.0,0.0,0.0,18851.178789799997,1.639259533689573,0.1780417113706307,0.0,0.04028993692930434,0.0,0.08415841584158416,0.0,-0.10092845439650464,0.0,0
2025-08-07,3775,5272,29535.429194,9321,0.0,0.0,-0.16545092838196288,0.017815623103520844,-0.19531990462002638,0.0,0.0,0.0,18136.675083050002,1.6284021551142138,0.11315832993757607,0.0,0.029868976238063512,0.0,0.10021171489061398,0.0,0.05816993464052288,0.0,1
2025-08-07,806,663,7528.15144,1842,0.0,0.0,0.09727891156462586,0.02043972224812918,0.2627298399465887,0.0,0.0,0.0,16834.7071455,0.4471538602411596,0.08920406977514098,0.0,-0.16545092838196288,0.0,0.04028993692930434,0.0,0.08415841584158416,0.0,1
2025-08-07,94,103,2757.605,208,0.0,0.0,-0.045454545454545456,-0.008693529820902707,-0.1427334570191713,0.0,0.0,0.0,16572.997088649998,0.16638140970161203,0.08980855948247111,0.0,0.09727891156462586,0.0,0.029868976238063512,0.0,0.10021171489061398,0.0,2
2025-08-08,80,91,1617.174,183,0.0,0.0,-0.06395348837209303,-0.029542214881182183,-0.01849894291754757,0.0,0.0,0.0,16540.54643865,0.0977643780766112,0.09194637180188765,0.0,-0.045454545454545456,0.0,-0.16545092838196288,0.0,0.04028993692930434,0.0,2
2025-08-08,2508,7769,25822.067458,10851,0.0,0.0,-0.5118700136213271,-0.1378900128530603,-0.4479165252492341,0.0,0.0,0.0,17374.07892495,1.4861554050796524,0.1867363965933171,0.0,-0.06395348837209303,0.0,0.09727891156462586,0.0,0.029868976238063512,0.0,1
2025-08-08,1776,6956,20206.939328,8982,0.0,0.0,-0.5931524103973435,-0.22343030925613644,-0.08128239677601634,0.0,0.0,0.0,18281.9676224,1.1052330095056768,0.25183350256632786,0.0,-0.5118700136213271,0.0,-0.045454545454545456,0.0,-0.16545092838196288,0.0,1
2025-08-08,652,722,3997.95413,1686,0.0,0.0,-0.05090909090909091,-0.2530679097508798,0.5422433194882526,0.0,0.0,0.0,15280.155300699998,0.26162643146600717,0.24419799061092176,0.0,-0.5931524103973435,0.0,-0.06395348837209303,0.0,0.09727891156462586,0.0,2
2025-08-11,74,105,1494.993,190,0.0,0.0,-0.17222222222222222,-0.27842144510441513,-0.12131313131313132,0.0,0.0,0.0,12713.2240781,0.11758428912505135,0.2322628289908922,0.0,-0.05090909090909091,0.0,-0.5118700136213271,0.0,-0.045454545454545456,0.0,2
